pid,nombre,usuario,cpu,memoria_MB,inicio,es_malicioso
0,System Idle Process,NT AUTHORITY\SYSTEM,1097.1,0.0078125,1969-12-31T19:00:00,0
4,System,NT AUTHORITY\SYSTEM,6.6,3.49609375,1969-12-31T19:00:00,0
188,,,0.0,81.4609375,2025-06-04T09:14:24.582419,0
232,Registry,,0.0,33.93359375,2025-06-04T09:14:24.595078,0
784,smss.exe,,0.0,0.83203125,2025-06-04T09:14:28.212580,0
1020,explorer.exe,MEISY\meisy,1.1,291.25,2025-06-09T06:43:30.624046,0
1072,csrss.exe,,0.0,5.28125,2025-06-04T09:14:37.091836,0
1160,wininit.exe,,0.0,4.91015625,2025-06-04T09:14:37.415761,0
1304,services.exe,,0.0,9.94140625,2025-06-04T09:14:37.466789,0
1312,LsaIso.exe,,0.0,3.0546875,2025-06-04T09:14:37.491800,0
1332,lsass.exe,,0.0,26.62890625,2025-06-04T09:14:37.494772,0
1396,svchost.exe,,0.0,10.8828125,2025-06-04T09:14:37.933860,0
1484,svchost.exe,,0.0,35.171875,2025-06-04T09:14:37.689276,0
1516,fontdrvhost.exe,,0.0,2.49609375,2025-06-04T09:14:37.702605,0
1592,WUDFHost.exe,,0.0,5.71484375,2025-06-04T09:14:37.730476,0
1652,svchost.exe,,0.0,16.8984375,2025-06-04T09:14:37.776695,0
1700,svchost.exe,,0.0,12.6796875,2025-06-04T09:14:37.945660,0
1704,svchost.exe,,0.0,8.91015625,2025-06-04T09:14:37.802860,0
1796,EXCEL.EXE,MEISY\meisy,0.0,204.28515625,2025-06-09T06:49:55.192612,0
1828,ApplicationFrameHost.exe,MEISY\meisy,0.0,50.984375,2025-06-09T06:51:50.990594,0
1888,svchost.exe,,0.0,3.984375,2025-06-04T09:14:37.909645,0
1892,svchost.exe,,0.0,10.03515625,2025-06-04T09:14:37.909645,0
1924,svchost.exe,,0.0,7.77734375,2025-06-04T09:14:37.913015,0
1940,ETDCtrl.exe,MEISY\meisy,0.0,16.27734375,2025-06-09T06:43:30.250477,0
1948,svchost.exe,,0.0,6.43359375,2025-06-04T09:16:42.413488,0
2020,svchost.exe,,0.0,7.4609375,2025-06-04T09:14:37.947967,0
2032,svchost.exe,,0.0,8.12109375,2025-06-04T09:14:37.949766,0
2052,msedgewebview2.exe,MEISY\meisy,0.0,59.84375,2025-06-09T06:43:33.589528,0
2056,svchost.exe,,0.0,9.67578125,2025-06-04T09:14:37.951149,0
2064,svchost.exe,,0.0,10.17578125,2025-06-04T09:14:37.951329,0
2112,Code.exe,MEISY\meisy,0.0,48.1171875,2025-06-09T07:39:03.624835,0
2192,svchost.exe,,0.0,17.98046875,2025-06-04T09:14:37.974447,0
2208,Photos.exe,MEISY\meisy,0.0,388.44140625,2025-06-09T08:22:35.438641,0
2240,IntelCpHDCPSvc.exe,,0.0,4.45703125,2025-06-04T09:14:37.981990,0
2268,svchost.exe,,0.0,8.01171875,2025-06-04T09:14:37.986459,0
2328,svchost.exe,,0.0,4.25390625,2025-06-04T09:14:37.993981,0
2388,BridgeCommunication.exe,MEISY\meisy,0.0,31.4765625,2025-06-09T06:46:26.899900,0
2392,svchost.exe,,0.0,8.19140625,2025-06-04T09:14:37.999928,0
2404,svchost.exe,,0.0,22.50390625,2025-06-04T09:14:38.001056,0
2468,RtkAudUService64.exe,,0.0,17.01171875,2025-06-09T06:43:33.394772,0
2500,svchost.exe,,0.0,7.28125,2025-06-04T09:14:38.014283,0
2548,svchost.exe,,0.0,5.62890625,2025-06-04T09:22:20.690821,0
2592,WUDFHost.exe,,0.0,14.05078125,2025-06-04T09:14:38.026613,0
2608,svchost.exe,,0.0,8.62890625,2025-06-04T09:14:38.028152,0
2728,svchost.exe,,0.0,21.72265625,2025-06-04T09:14:38.401659,0
2860,svchost.exe,,0.0,5.0703125,2025-06-04T09:14:38.056945,0
2868,sihost.exe,MEISY\meisy,0.0,49.69921875,2025-06-09T06:43:30.159290,0
2940,pycharm64.exe,MEISY\meisy,8.1,2201.74609375,2025-06-09T07:36:27.446713,0
